Date,Close
2026-01-01,150
2026-01-02,151.51
2026-01-03,152.22
2026-01-04,151.32
2026-01-05,152.41
2026-01-06,153.39
2026-01-07,153.2
2026-01-08,150.87
2026-01-09,150.56
2026-01-10,151.92
2026-01-11,150.8
2026-01-12,149.69
2026-01-13,152.3
2026-01-14,152.61
2026-01-15,153.08
2026-01-16,152.2
2026-01-17,153
2026-01-18,152.37
2026-01-19,152.01
2026-01-20,151
2026-01-21,154.3
2026-01-22,155.7
2026-01-23,155.26
2026-01-24,158.88
2026-01-25,163.31
2026-01-26,170.15
2026-01-27,171.33
2026-01-28,169.52
2026-01-29,168.77
2026-01-30,171.76
2026-01-31,167.69
2026-02-01,165
2026-02-02,169.79
2026-02-03,171.19
2026-02-04,175.45
2026-02-05,170.37
2026-02-06,169.75
2026-02-07,168.84
2026-02-08,171.91
2026-02-09,172.64
2026-02-10,169.37
2026-02-11,167.97
2026-02-12,164.34
2026-02-13,161.49
2026-02-14,156.33
2026-02-15,152.19
2026-02-16,152.88
2026-02-17,152.64
2026-02-18,153.48
2026-02-19,153.83
2026-02-20,152.23
2026-02-21,155.36
2026-02-22,149.66
2026-02-23,148.96
2026-02-24,147.73
2026-02-25,146.48
2026-02-26,149.33
2026-02-27,152.6
2026-02-28,154.37
2026-03-01,152.24
2026-03-02,151.34
2026-03-03,152.12
2026-03-04,153.62
2026-03-05,153.59
2026-03-06,153.54
2026-03-07,152.55
2026-03-08,154.59
2026-03-09,150.18
2026-03-10,149.52
2026-03-11,153.42
2026-03-12,151.41
2026-03-13,159.44
2026-03-14,159.34
2026-03-15,158.14
2026-03-16,156.85
2026-03-17,155.28
2026-03-18,155.77
2026-03-19,159.32
2026-03-20,159.46
2026-03-21,159.77
2026-03-22,159.17
2026-03-23,160.77
2026-03-24,162.54
2026-03-25,162.73
2026-03-26,165.82
2026-03-27,165.68
2026-03-28,169.15
2026-03-29,168.19
2026-03-30,169.18
2026-03-31,172.08
2026-04-01,173.46
2026-04-02,176.47
2026-04-03,178.46
2026-04-04,182.47
2026-04-05,182.97
2026-04-06,187.4
2026-04-07,189.76
2026-04-08,182.87
2026-04-09,188.11
2026-04-10,188.14
